epoch,train_loss,val_macro_skill,val_global_mae,val_mse_std,val_curve_mae,lr,seconds
0,0.9682765377534402,-0.00015873595177628985,9.373608589172363,0.28513139486312866,36.06704987513385,0.0009972609476841367,27.6
1,0.860296040068607,0.035454883118283265,10.667616844177246,0.3187638521194458,30.49443284921847,0.0009890738003669028,34.5
2,0.6498267824786741,0.11517334311265248,9.922492027282715,0.2839832603931427,27.673285975669035,0.0009755282581475768,34.8
3,0.49514172065096934,-0.10135514477976004,13.797367095947266,0.43686962127685547,31.09118141240623,0.0009567727288213003,35.0
4,0.3550205868039582,-0.06544942547513033,13.134384155273438,0.4982043504714966,25.337193113063904,0.0009330127018922195,35.0
5,0.32254449655679435,-0.04813911730343112,13.546229362487793,0.5294180512428284,26.085987147207494,0.0009045084971874739,35.4
6,0.18483223846635302,-0.047256221871648796,14.312074661254883,0.5410096645355225,23.330659429343328,0.0008715724127386972,35.3
7,0.13282622409531394,-0.04464880334700094,14.189109802246094,0.5902079939842224,21.8011915905315,0.0008345653031794292,35.0
8,0.09564549312297557,-0.1942816313538016,15.464595794677734,0.7781816124916077,26.10766996375536,0.0007938926261462366,35.3
9,0.08493674730227606,-0.10362283017514362,14.795446395874023,0.6759006977081299,22.604066249551348,0.00075,35.0
10,0.04235686291311238,-0.22209578218722092,16.373714447021484,0.9108943939208984,23.068419722010333,0.0007033683215379003,35.3
11,0.03170840853724528,-0.1595890755799252,15.541727066040039,0.8147696256637573,22.274868988833582,0.0006545084971874739,27.7
12,0.02151665009079954,-0.229663207346825,16.52386474609375,0.9700398445129395,22.046195992595383,0.0006039558454088797,27.5
