epoch,train_loss,val_macro_skill,val_global_mae,val_mse_std,val_curve_mae,lr,seconds
0,0.9082577548719741,-0.08213367589286746,11.378437995910645,0.3048337399959564,35.73142389281182,0.0009972609476841367,36.3
1,0.9143576338081747,-0.06777604630938461,12.385323524475098,0.33710622787475586,31.890508023509657,0.0009890738003669028,35.5
2,0.9881961353727289,-0.0542421788934242,11.627835273742676,0.33211570978164673,32.344520716665926,0.0009755282581475768,35.7
3,0.8320789447910076,-0.054204882898456486,11.436538696289062,0.33432120084762573,31.700960491727592,0.0009567727288213003,35.4
4,0.7142596090766223,0.03413141286258381,9.704569816589355,0.2948710322380066,33.42415711833766,0.0009330127018922195,35.6
5,0.6850453175705027,-0.09186344132242175,12.606165885925293,0.39776861667633057,30.4399302010713,0.0009045084971874739,35.7
6,0.5834759710406935,-0.036355863918765996,11.974567413330078,0.36840829253196716,28.658093535066207,0.0008715724127386972,36.0
7,0.563198738303539,0.027686598008731522,10.284521102905273,0.28798913955688477,30.81781007813229,0.0008345653031794292,35.6
8,0.4351991149219307,-0.22295637534905977,15.428084373474121,0.6705555319786072,25.813921175605945,0.0007938926261462366,35.3
9,0.44032766604544343,-0.004304710366449971,11.885737419128418,0.3878878355026245,27.37348582476155,0.00075,35.4
10,0.3167185610713991,-0.20399348599848022,14.283231735229492,0.6213403940200806,28.357749308971258,0.0007033683215379003,30.4
11,0.31646635730725686,-0.24393355052522114,16.3598575592041,0.8350779414176941,26.687877660635532,0.0006545084971874739,26.9
12,0.2837727903514295,0.07003530282694059,11.940256118774414,0.4917573034763336,24.407122938288158,0.0006039558454088797,26.3
13,0.23585912212729454,0.0769427345196877,10.75816535949707,0.3242545425891876,25.592361506187398,0.0005522642316338269,18.9
14,0.2140059179651576,-0.06952124178286767,13.891633987426758,0.5489694476127625,23.345206123539196,0.0005000000000000002,18.6
15,0.1673647749514596,0.05755735096771575,12.005297660827637,0.4154587388038635,23.330152715544976,0.0004477357683661734,18.9
16,0.17015250945916852,0.05409445648613387,11.990885734558105,0.42015907168388367,22.49900492368205,0.00039604415459112036,17.0
17,0.1333831361167737,0.13240407874460336,11.0145845413208,0.34411826729774475,22.049960326721074,0.0003454915028125264,12.0
18,0.1211726955968786,0.10974884725043965,11.943089485168457,0.4164092242717743,21.321349806022678,0.00029663167846210003,12.0
19,0.11365132527174177,0.09500505448360985,11.797080039978027,0.43365317583084106,22.11414806532613,0.00025000000000000017,11.8
20,0.11110320173808046,0.1230182882187002,11.575662612915039,0.3947390615940094,21.23199490943927,0.00020610737385376354,11.8
21,0.09520924365701708,0.07258281709382308,12.208515167236328,0.45998379588127136,22.235044030925913,0.00016543469682057108,11.7
22,0.0979143886298344,0.10927926233193452,12.034796714782715,0.4161527454853058,20.696699574594284,0.00012842758726130303,11.7
23,0.09204221922098785,0.08835083789469944,12.131404876708984,0.4310725927352905,21.480536165325816,9.549150281252637e-05,11.9
24,0.07657890019283907,0.11858733249170639,11.691408157348633,0.41923603415489197,21.31117435793841,6.698729810778068e-05,11.9
25,0.07129049016716513,0.08012093575786694,12.31307315826416,0.44507917761802673,21.241083524109083,4.322727117869953e-05,11.9
26,0.06876562363342256,0.10757771214208589,11.838223457336426,0.4155000150203705,20.942949791190603,2.447174185242324e-05,11.7
27,0.07089200041986801,0.09304435360105145,12.026399612426758,0.4298112988471985,21.255957361946596,1.092619963309716e-05,11.7
