arm,seed,run_dir,best_epoch,test_macro_mae,test_macro_skill,test_pearson_r,test_global_mae,test_ccc,test_skill_vs_val_constant,val_constant,test_mae_val_constant,test_mae_oracle_constant,constant,winval_macro_skill
cfc,0,runs_val/runs_fleet/cfc_s0_T16_lr0.001_k0.1_aug-full,18,16.48404827814551,-0.23037787803057652,0.20696065536460231,13.105387426997003,0.2053462374367949,-0.2757535452398927,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.1664181076658665
cfc,1,runs_val/runs_fleet/cfc_s1_T16_lr0.001_k0.1_aug-full,2,12.911823502705074,0.03625482437916938,-0.007357954140964876,7.882997136096833,-5.028392663234663e-06,0.0007124262717255192,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.011238144364272729
cfc,2,runs_val/runs_fleet/cfc_s2_T16_lr0.001_k0.1_aug-full,15,15.562137186536242,-0.16156595795564477,0.19502170241859268,12.425095854299363,0.19400471733027705,-0.20440387896429613,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.11684908418199569
cfc,3,runs_val/runs_fleet/cfc_s3_T16_lr0.001_k0.1_aug-full,0,12.819981719305877,0.043109942531368906,0.14284404662157646,7.823004038511102,0.017480667943436345,0.007820357454384141,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.02162405990659877
cfc,4,runs_val/runs_fleet/cfc_s4_T16_lr0.001_k0.1_aug-full,14,12.951516700721617,0.03329210357638024,nan,7.895508762059139,0.0,-0.0023595580634969693,1.8200000524520874,12.921028783067854,12.722514843311288,True,0.011200198508198644
cfc,5,runs_val/runs_fleet/cfc_s5_T16_lr0.001_k0.1_aug-full,4,12.927187540814963,0.035108044638619385,0.14204561969423019,8.914866954599578,0.10674276108262908,-0.00047664608217412585,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.06014564210679274
cfc,6,runs_val/runs_fleet/cfc_s6_T16_lr0.001_k0.1_aug-full,6,15.358699242639323,-0.14638124474083036,0.15160691390406447,12.348634570931539,0.14999800470890703,-0.18865916178175168,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.06375490597958189
cfc,7,runs_val/runs_fleet/cfc_s7_T16_lr0.001_k0.1_aug-full,0,14.275621257814313,-0.06553974450830702,0.08663431670358163,9.84417966537246,0.039078582845482886,-0.10483627097259962,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.0056464566093288315
cfc,8,runs_val/runs_fleet/cfc_s8_T16_lr0.001_k0.1_aug-full,10,16.228747071680765,-0.21132206410862908,0.17631035740366796,13.097593713652033,0.17586593274943635,-0.2559949632607781,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.049681568342417326
cfc,9,runs_val/runs_fleet/cfc_s9_T16_lr0.001_k0.1_aug-full,2,13.326771932307054,0.005282859259249206,0.02138820709602923,9.51384623289942,0.01553930062080108,-0.03140176808296413,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.037721206103847216
cfc,10,runs_power/cfc_s10_T16_lr0.001_k0.1_aug-full,16,12.910776327440773,0.036332986081797025,0.011789310939665138,7.882392406463623,6.101527550610752e-05,0.0007934705354510907,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.011235188841706045
cfc,11,runs_power/cfc_s11_T16_lr0.001_k0.1_aug-full,0,14.398207589730879,-0.07468965164240715,0.06092407776735343,10.051959991455078,0.029822893315642956,-0.11432362170717925,1.8200000524520874,12.921028783067854,12.722514843311288,False,-0.0007847903146298574
cfc,12,runs_power/cfc_s12_T16_lr0.001_k0.1_aug-full,2,15.170520777549195,-0.13233550690617446,0.06896253322676245,11.586431503295898,0.05878316702775095,-0.17409542477214734,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.0055064105820555875
cfc,13,runs_power/cfc_s13_T16_lr0.001_k0.1_aug-full,13,14.245526607411408,-0.06329346425736349,0.10721966922186238,10.227225303649902,0.09499293387749311,-0.10250714912726,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.018590250654772933
cfc,14,runs_power/cfc_s14_T16_lr0.001_k0.1_aug-full,6,12.92134058808027,0.03554446421087909,-0.00997740943271273,7.885629653930664,-6.620810380919064e-05,-2.413159336223103e-05,1.8200000524520874,12.921028783067854,12.722514843311288,False,0.011262260648187028
