epoch,train_loss,val_macro_skill,val_global_mae,val_mse_std,val_curve_mae,lr,seconds
0,1.0515580236710407,-0.023185612327521588,9.911209106445312,0.29328152537345886,36.306461016521,0.0009972609476841367,34.0
1,0.950796190447904,-0.0595621398357844,11.042279243469238,0.31850698590278625,35.95959041224916,0.0009890738003669028,34.4
2,0.8888473945695001,0.02036470617729591,10.154006958007812,0.28239700198173523,33.305342240310864,0.0009755282581475768,34.6
3,0.8780709165777709,-0.018260692207322737,11.462895393371582,0.29844099283218384,31.063886054920467,0.0009567727288213003,34.8
4,0.8613601367215853,-0.058583133715886415,12.456904411315918,0.35496705770492554,31.2767019455758,0.0009330127018922195,34.9
5,0.7301293863235293,-0.1615622627347546,14.230278015136719,0.4158308506011963,31.374461801602514,0.0009045084971874739,35.1
6,0.6641982224946087,-0.16273137727226006,15.46877670288086,0.48123565316200256,28.126725793467834,0.0008715724127386972,35.0
7,0.6121591054708571,-0.11906617434467792,15.060578346252441,0.47742801904678345,24.9036487761577,0.0008345653031794292,35.3
8,0.6187239803776547,-0.1459003974094386,15.606269836425781,0.5527604222297668,23.732543788025573,0.0007938926261462366,35.1
9,0.4761123159849966,-0.27241641569122055,18.173948287963867,0.6231892108917236,25.97345338457615,0.00075,35.3
10,0.4696419415240352,-0.22853392540893402,18.43023681640625,0.6592914462089539,22.437342161549463,0.0007033683215379003,35.7
11,0.36049229837954044,-0.058895581117618834,13.905050277709961,0.42687562108039856,23.530377803226312,0.0006545084971874739,35.3
12,0.31947415176074245,0.010841624419880014,12.711851119995117,0.35374635457992554,22.81190056271139,0.0006039558454088797,35.2
