epoch,train_loss,val_macro_skill,val_global_mae,val_mse_std,val_curve_mae,lr,seconds
0,1.0409320370369666,-0.041221337728410745,10.916228294372559,0.3161894977092743,35.13341222415142,0.0009972609476841367,32.2
1,0.9158668873479238,-0.030336462667243325,11.84035873413086,0.34632784128189087,32.294786169707926,0.0009890738003669028,35.1
2,0.8049220718644761,-0.16592975977786728,14.38364028930664,0.40771111845970154,31.66650362932434,0.0009755282581475768,35.4
3,0.7339808107227892,-0.059730171491821915,12.25913143157959,0.35588157176971436,30.526626839293574,0.0009567727288213003,35.1
4,0.6809448421605535,-0.08292764677739117,13.051446914672852,0.4001242518424988,29.432772147442584,0.0009330127018922195,35.2
5,0.5229287755650442,-0.2742674965416605,17.10157585144043,0.6599564552307129,27.55127842628739,0.0009045084971874739,35.2
6,0.4277357625196109,-0.12954223589024227,15.415433883666992,0.549817681312561,27.121608968327845,0.0008715724127386972,35.1
7,0.36085480250216817,-0.07440565501556895,13.745895385742188,0.463679701089859,24.624200597014376,0.0008345653031794292,35.2
8,0.3592718943349413,-0.10524574811890441,14.346778869628906,0.5430630445480347,25.890523099929485,0.0007938926261462366,35.5
9,0.2595246360209343,-0.08116273063980395,14.25338363647461,0.5248098373413086,25.14956701430664,0.00075,35.5
10,0.23866473692091736,-0.11323231997916472,14.750358581542969,0.6057595610618591,24.264108694285255,0.0007033683215379003,31.5
11,0.18953674998939843,-0.018628911701678907,12.760579109191895,0.467494934797287,24.5949193130627,0.0006545084971874739,19.4
12,0.13862149447605415,0.11465073940210191,11.366865158081055,0.36815980076789856,21.742161845024548,0.0006039558454088797,18.0
13,0.11353190135009386,-0.11291624845266335,14.117873191833496,0.6221157908439636,23.180733028993686,0.0005522642316338269,11.8
14,0.10928489282928608,-0.008149819258228774,12.656067848205566,0.4898666739463806,23.340958686227555,0.0005000000000000002,11.8
15,0.08100180600996355,0.06714849718143678,11.55810546875,0.4073253273963928,23.55226572022095,0.0004477357683661734,11.7
16,0.05835880374384893,0.0730017777270705,11.516406059265137,0.39864465594291687,22.316853729336913,0.00039604415459112036,11.6
17,0.057481900889527156,0.07281516462643234,11.530182838439941,0.41016054153442383,22.77121148388811,0.0003454915028125264,11.7
18,0.04980239947955754,0.08851839926042915,11.276167869567871,0.39158186316490173,22.209308352385968,0.00029663167846210003,11.7
19,0.048668347374611606,0.0985688865864558,11.351041793823242,0.3983207941055298,22.434503934827518,0.00025000000000000017,11.6
20,0.038605979140344505,0.11582070330262695,11.018840789794922,0.3791181147098541,22.30328013385666,0.00020610737385376354,11.6
21,0.04377729983094174,0.10742031569214916,11.21280574798584,0.3986298441886902,22.386994156526285,0.00016543469682057108,11.7
22,0.03556427092140389,0.09414638468731606,11.363215446472168,0.40312471985816956,22.142245333489672,0.00012842758726130303,11.7
23,0.03478466711837698,0.07211877189616545,11.712995529174805,0.4191035032272339,22.105340646313326,9.549150281252637e-05,11.9
24,0.03295987580802191,0.07361509557420709,11.66064167022705,0.4179229140281677,22.531143833693395,6.698729810778068e-05,11.7
25,0.030163085176231893,0.08947854402945443,11.462749481201172,0.40168625116348267,22.26669396532086,4.322727117869953e-05,11.7
26,0.02976921505949183,0.07706021638834704,11.658998489379883,0.4155850410461426,22.246412831650808,2.447174185242324e-05,11.7
27,0.025175702216959483,0.07379928794997015,11.701680183410645,0.41856423020362854,22.23130452837477,1.092619963309716e-05,11.6
28,0.025717821192449412,0.06927548464892641,11.741853713989258,0.4202706515789032,22.16943171162943,2.7390523158633003e-06,11.6
29,0.029365760274231434,0.06984613689696506,11.73839282989502,0.4205419421195984,22.204359714183052,0.0,12.6
