epoch,train_loss,val_macro_skill,val_global_mae,val_mse_std,val_curve_mae,lr,seconds
0,1.0422830840421689,-0.06261050331516427,11.308155059814453,0.2984640896320343,34.69099015777254,0.0009972609476841367,34.1
1,0.9612529996681858,-0.02443924390922958,10.20288372039795,0.29675057530403137,36.155377113352195,0.0009890738003669028,34.3
2,0.8923021030385752,0.013546320845135296,10.272915840148926,0.2895148992538452,33.64362706302488,0.0009755282581475768,34.5
3,0.8885530772040019,-0.07489407120516223,11.900773048400879,0.3190213143825531,32.56421515790246,0.0009567727288213003,34.5
4,0.8679843869160961,-0.028812902759472125,11.851101875305176,0.3179605305194855,30.07213273571181,0.0009330127018922195,34.6
5,0.7324227148012535,-0.12584178584485417,12.805093765258789,0.3892512917518616,31.947647793595642,0.0009045084971874739,34.4
6,0.692079325986875,-0.19930205884385677,15.621667861938477,0.4821256399154663,29.048764219313103,0.0008715724127386972,34.6
7,0.6482164424818915,-0.07307857249122707,13.658388137817383,0.4099735617637634,27.200267734462415,0.0008345653031794292,34.8
8,0.64877797668246,-0.13471566890724307,14.811429977416992,0.5084033012390137,24.664024158703864,0.0007938926261462366,34.7
9,0.49498198654603315,-0.22013379926525678,16.658117294311523,0.6242561340332031,25.27800244944808,0.00075,34.8
10,0.4771929972276494,-0.14088349552883894,16.117116928100586,0.5644373297691345,22.366474278915042,0.0007033683215379003,30.9
11,0.3574115808147031,-0.06873191421123215,13.66244125366211,0.45145854353904724,23.158882365206548,0.0006545084971874739,19.8
12,0.31168327661784917,-0.08150919480467311,13.79991626739502,0.5237758755683899,21.892733045027438,0.0006039558454088797,18.4
