epoch,train_loss,val_macro_skill,val_global_mae,val_mse_std,val_curve_mae,lr,seconds
0,1.0712153596451153,-0.01846286490644733,8.787147521972656,0.2782113552093506,37.810810721900225,0.0009972609476841367,33.4
1,0.986040508122863,0.00467370246074561,9.937992095947266,0.28567367792129517,35.27006254091642,0.0009890738003669028,34.0
2,0.9207744362789232,0.0364810915835001,9.081477165222168,0.26126736402511597,34.80351670267988,0.0009755282581475768,34.3
3,0.9182947033361809,-0.06444498866353787,10.81435489654541,0.30317527055740356,35.35279819002464,0.0009567727288213003,34.5
4,0.9040140867031909,-0.011976632454436364,10.94269847869873,0.3071977198123932,32.70310340613331,0.0009330127018922195,34.7
5,0.7803828157484531,-0.16829210615485968,13.268390655517578,0.4502950608730316,35.81531191523911,0.0009045084971874739,34.5
6,0.7272831207594356,-0.17225012708324638,14.609814643859863,0.43524259328842163,31.49800006597668,0.0008715724127386972,34.8
7,0.6928716264665127,-0.12041190485078768,13.596211433410645,0.39669814705848694,29.749055638185137,0.0008345653031794292,34.7
8,0.7037596140761633,-0.07272406590141967,12.887850761413574,0.41295096278190613,28.94000162879357,0.0007938926261462366,35.0
9,0.5491802214166602,-0.15105127357052983,14.340271949768066,0.5218427181243896,27.8882010186959,0.00075,35.1
10,0.5726851463519238,-0.1949520878619866,14.726432800292969,0.585917055606842,26.1485780321101,0.0007033683215379003,35.0
11,0.4571305993642356,-0.05221025609198815,12.040424346923828,0.389081746339798,27.955475376004305,0.0006545084971874739,27.1
12,0.38964575418346636,-0.014577490903026069,11.403120994567871,0.3596656024456024,28.54346545668316,0.0006039558454088797,24.9
